engine,query,iter,time_s
nova,scan,1,0.537833
nova,scan,2,0.552750
nova,scan,3,0.547092
nova,scan,4,0.552389
nova,scan,5,0.554120
nova,2join,1,0.015387
nova,2join,2,0.015633
nova,2join,3,0.015220
nova,2join,4,0.016108
nova,2join,5,0.014964
nova,feature_lookup,1,0.003723
nova,feature_lookup,2,0.003799
nova,feature_lookup,3,0.003782
nova,feature_lookup,4,0.003825
nova,feature_lookup,5,0.004068
nova,star_with_features,1,0.159650
nova,star_with_features,2,0.156419
nova,star_with_features,3,0.158341
nova,star_with_features,4,0.164254
nova,star_with_features,5,0.167029
nova,path_2hop,1,6.440405
nova,path_2hop,2,7.600173
nova,path_2hop,3,5.814105
nova,path_2hop,4,6.283841
nova,path_2hop,5,6.097791
nova,triangle,1,3.229066
nova,triangle,2,3.203144
nova,triangle,3,3.243590
nova,triangle,4,3.269027
nova,triangle,5,3.517253
oxigraph,scan,1,0.547210
oxigraph,scan,2,0.524840
oxigraph,scan,3,0.505819
oxigraph,scan,4,0.550151
oxigraph,scan,5,0.529315
oxigraph,2join,1,0.031057
oxigraph,2join,2,0.026266
oxigraph,2join,3,0.026427
oxigraph,2join,4,0.027190
oxigraph,2join,5,0.026377
oxigraph,feature_lookup,1,0.006511
oxigraph,feature_lookup,2,0.007110
oxigraph,feature_lookup,3,0.006007
oxigraph,feature_lookup,4,0.006514
oxigraph,feature_lookup,5,0.006350
oxigraph,star_with_features,1,0.172892
oxigraph,star_with_features,2,0.168192
oxigraph,star_with_features,3,0.164208
oxigraph,star_with_features,4,0.171257
oxigraph,star_with_features,5,0.165223
oxigraph,path_2hop,1,5.308442
oxigraph,path_2hop,2,5.350120
oxigraph,path_2hop,3,5.698223
oxigraph,path_2hop,4,6.432403
oxigraph,path_2hop,5,5.856883
oxigraph,triangle,1,3.653574
oxigraph,triangle,2,3.629065
oxigraph,triangle,3,3.639334
oxigraph,triangle,4,3.651908
oxigraph,triangle,5,4.533727
qlever,scan,1,0.951682
qlever,scan,2,0.954412
qlever,scan,3,0.955312
qlever,scan,4,0.956949
qlever,scan,5,0.956846
qlever,2join,1,0.020922
qlever,2join,2,0.020794
qlever,2join,3,0.020853
qlever,2join,4,0.020569
qlever,2join,5,0.020208
qlever,feature_lookup,1,0.006352
qlever,feature_lookup,2,0.006171
qlever,feature_lookup,3,0.005831
qlever,feature_lookup,4,0.005804
qlever,feature_lookup,5,0.005974
qlever,star_with_features,1,0.379427
qlever,star_with_features,2,0.387779
qlever,star_with_features,3,0.376380
qlever,star_with_features,4,0.385781
qlever,star_with_features,5,0.381210
qlever,path_2hop,1,13.126701
qlever,path_2hop,2,13.235869
qlever,path_2hop,3,13.157214
qlever,path_2hop,4,13.172882
qlever,path_2hop,5,13.168319
qlever,triangle,1,4.362177
qlever,triangle,2,4.367779
qlever,triangle,3,4.351063
qlever,triangle,4,4.348859
qlever,triangle,5,4.424398
