engine,query,iter,time_s
nova,scan,1,0.003206
nova,scan,2,0.003082
nova,scan,3,0.003034
nova,scan,4,0.003112
nova,scan,5,0.002880
nova,2join,1,0.000610
nova,2join,2,0.000589
nova,2join,3,0.000508
nova,2join,4,0.000663
nova,2join,5,0.000655
nova,feature_lookup,1,0.000471
nova,feature_lookup,2,0.000480
nova,feature_lookup,3,0.000493
nova,feature_lookup,4,0.000600
nova,feature_lookup,5,0.000490
nova,star_with_features,1,0.001296
nova,star_with_features,2,0.001296
nova,star_with_features,3,0.001293
nova,star_with_features,4,0.001260
nova,star_with_features,5,0.001402
nova,path_2hop,1,0.025984
nova,path_2hop,2,0.026516
nova,path_2hop,3,0.027947
nova,path_2hop,4,0.026544
nova,path_2hop,5,0.028471
nova,triangle,1,0.014005
nova,triangle,2,0.013946
nova,triangle,3,0.014006
nova,triangle,4,0.015600
nova,triangle,5,0.017733
oxigraph,scan,1,0.012281
oxigraph,scan,2,0.006243
oxigraph,scan,3,0.009466
oxigraph,scan,4,0.006046
oxigraph,scan,5,0.008686
oxigraph,2join,1,0.002051
oxigraph,2join,2,0.013624
oxigraph,2join,3,0.002138
oxigraph,2join,4,0.001852
oxigraph,2join,5,0.001479
oxigraph,feature_lookup,1,0.001022
oxigraph,feature_lookup,2,0.001175
oxigraph,feature_lookup,3,0.001115
oxigraph,feature_lookup,4,0.001112
oxigraph,feature_lookup,5,0.001101
oxigraph,star_with_features,1,0.003199
oxigraph,star_with_features,2,0.002494
oxigraph,star_with_features,3,0.002389
oxigraph,star_with_features,4,0.004911
oxigraph,star_with_features,5,0.006174
oxigraph,path_2hop,1,0.050202
oxigraph,path_2hop,2,0.049533
oxigraph,path_2hop,3,0.052585
oxigraph,path_2hop,4,0.054234
oxigraph,path_2hop,5,0.054290
oxigraph,triangle,1,0.049181
oxigraph,triangle,2,0.043285
oxigraph,triangle,3,0.044400
oxigraph,triangle,4,0.043915
oxigraph,triangle,5,0.043753
qlever,scan,1,0.005151
qlever,scan,2,0.005051
qlever,scan,3,0.005057
qlever,scan,4,0.005014
qlever,scan,5,0.004759
qlever,2join,1,0.001184
qlever,2join,2,0.001034
qlever,2join,3,0.001211
qlever,2join,4,0.001316
qlever,2join,5,0.001246
qlever,feature_lookup,1,0.000799
qlever,feature_lookup,2,0.000816
qlever,feature_lookup,3,0.000788
qlever,feature_lookup,4,0.000838
qlever,feature_lookup,5,0.000839
qlever,star_with_features,1,0.002685
qlever,star_with_features,2,0.002306
qlever,star_with_features,3,0.002374
qlever,star_with_features,4,0.002413
qlever,star_with_features,5,0.002564
qlever,path_2hop,1,0.053013
qlever,path_2hop,2,0.053108
qlever,path_2hop,3,0.052784
qlever,path_2hop,4,0.053043
qlever,path_2hop,5,0.053519
qlever,triangle,1,0.019816
qlever,triangle,2,0.020252
qlever,triangle,3,0.020125
qlever,triangle,4,0.020094
qlever,triangle,5,0.020267
